g,K,winning_config
0.0,0.0,0
0.0,0.03,0
0.0,0.06,0
0.0,0.09,0
0.0,0.12,0
0.0,0.15,0
0.0,0.18,0
0.0,0.21,0
0.0,0.24,0
0.0,0.27,0
0.0,0.3,0
0.0,0.32999999999999996,0
0.0,0.36,0
0.0,0.39,0
0.0,0.42,0
0.0,0.44999999999999996,0
0.0,0.48,0
0.0,0.51,0
0.0,0.54,0
0.0,0.57,0
0.0,0.6,0
0.0,0.63,0
0.0,0.6599999999999999,0
0.0,0.69,0
0.0,0.72,0
0.0,0.75,0
0.0,0.78,0
0.0,0.8099999999999999,0
0.0,0.84,0
0.0,0.87,0
0.0,0.8999999999999999,0
0.0,0.9299999999999999,0
0.0,0.96,0
0.0,0.99,0
0.03,0.0,0
0.03,0.03,0
0.03,0.06,0
0.03,0.09,0
0.03,0.12,0
0.03,0.15,0
0.03,0.18,0
0.03,0.21,0
0.03,0.24,0
0.03,0.27,0
0.03,0.3,0
0.03,0.32999999999999996,0
0.03,0.36,0
0.03,0.39,0
0.03,0.42,0
0.03,0.44999999999999996,0
0.03,0.48,0
0.03,0.51,0
0.03,0.54,0
0.03,0.57,0
0.03,0.6,0
0.03,0.63,0
0.03,0.6599999999999999,0
0.03,0.69,0
0.03,0.72,0
0.03,0.75,0
0.03,0.78,0
0.03,0.8099999999999999,0
0.03,0.84,0
0.03,0.87,0
0.03,0.8999999999999999,0
0.03,0.9299999999999999,0
0.03,0.96,0
0.03,0.99,0
0.06,0.0,0
0.06,0.03,0
0.06,0.06,0
0.06,0.09,0
0.06,0.12,0
0.06,0.15,0
0.06,0.18,0
0.06,0.21,0
0.06,0.24,0
0.06,0.27,0
0.06,0.3,0
0.06,0.32999999999999996,0
0.06,0.36,0
0.06,0.39,0
0.06,0.42,0
0.06,0.44999999999999996,0
0.06,0.48,0
0.06,0.51,0
0.06,0.54,0
0.06,0.57,0
0.06,0.6,0
0.06,0.63,0
0.06,0.6599999999999999,0
0.06,0.69,0
0.06,0.72,0
0.06,0.75,0
0.06,0.78,0
0.06,0.8099999999999999,0
0.06,0.84,0
0.06,0.87,0
0.06,0.8999999999999999,0
0.06,0.9299999999999999,0
0.06,0.96,0
0.06,0.99,0
0.09,0.0,0
0.09,0.03,0
0.09,0.06,0
0.09,0.09,0
0.09,0.12,0
0.09,0.15,0
0.09,0.18,0
0.09,0.21,0
0.09,0.24,0
0.09,0.27,0
0.09,0.3,0
0.09,0.32999999999999996,0
0.09,0.36,0
0.09,0.39,0
0.09,0.42,0
0.09,0.44999999999999996,0
0.09,0.48,0
0.09,0.51,0
0.09,0.54,0
0.09,0.57,0
0.09,0.6,0
0.09,0.63,0
0.09,0.6599999999999999,0
0.09,0.69,0
0.09,0.72,0
0.09,0.75,0
0.09,0.78,0
0.09,0.8099999999999999,0
0.09,0.84,0
0.09,0.87,0
0.09,0.8999999999999999,0
0.09,0.9299999999999999,0
0.09,0.96,0
0.09,0.99,0
0.12,0.0,0
0.12,0.03,0
0.12,0.06,0
0.12,0.09,0
0.12,0.12,0
0.12,0.15,0
0.12,0.18,0
0.12,0.21,0
0.12,0.24,0
0.12,0.27,0
0.12,0.3,0
0.12,0.32999999999999996,0
0.12,0.36,0
0.12,0.39,0
0.12,0.42,0
0.12,0.44999999999999996,0
0.12,0.48,0
0.12,0.51,0
0.12,0.54,0
0.12,0.57,0
0.12,0.6,0
0.12,0.63,0
0.12,0.6599999999999999,0
0.12,0.69,0
0.12,0.72,0
0.12,0.75,0
0.12,0.78,0
0.12,0.8099999999999999,0
0.12,0.84,0
0.12,0.87,0
0.12,0.8999999999999999,0
0.12,0.9299999999999999,0
0.12,0.96,0
0.12,0.99,0
0.15,0.0,0
0.15,0.03,0
0.15,0.06,0
0.15,0.09,0
0.15,0.12,0
0.15,0.15,0
0.15,0.18,0
0.15,0.21,0
0.15,0.24,0
0.15,0.27,0
0.15,0.3,0
0.15,0.32999999999999996,0
0.15,0.36,0
0.15,0.39,0
0.15,0.42,0
0.15,0.44999999999999996,0
0.15,0.48,0
0.15,0.51,0
0.15,0.54,0
0.15,0.57,0
0.15,0.6,0
0.15,0.63,0
0.15,0.6599999999999999,0
0.15,0.69,0
0.15,0.72,0
0.15,0.75,0
0.15,0.78,0
0.15,0.8099999999999999,0
0.15,0.84,0
0.15,0.87,0
0.15,0.8999999999999999,0
0.15,0.9299999999999999,0
0.15,0.96,0
0.15,0.99,0
0.18,0.0,0
0.18,0.03,0
0.18,0.06,0
0.18,0.09,0
0.18,0.12,0
0.18,0.15,0
